time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain
20:19:41:0,0.0408,0.5294,0.8673,-0.302,0.0955,0.6328,-0.0974,-0.0976,-0.024,1024.4426,-0.9,0.24,-1.38,91,41.448,-31.373,-2.693,67.2183
20:19:41:0,0.0408,0.5294,0.8673,-0.302,0.0955,0.6328,-0.0974,-0.0976,-0.024,1024.4426,-3.06,1.86,-2.58,91,44.332,-31.373,-2.693,67.2183
20:19:41:0,0.0408,0.5294,0.8673,-0.302,0.0955,0.6328,-0.0052,0.0417,-0.0399,1024.4426,-3.06,1.86,-2.58,91,44.332,-31.373,-2.693,67.2183
20:19:41:0,0.0408,0.5294,0.8673,-0.302,0.0955,0.6328,-0.0052,0.0417,-0.0399,1024.4609,-3.06,1.86,-2.58,91,44.332,-31.373,-2.693,67.2183
20:19:41:0,0.0408,0.5294,0.8673,-0.302,0.0955,0.6328,-0.0052,0.0417,-0.0399,1024.4609,-3.06,1.86,-2.58,92,44.332,-31.373,-2.693,67.2183
20:19:41:0,0.0408,0.5294,0.8673,-0.1605,0.0901,0.1412,-0.0052,0.0417,-0.0399,1024.4609,-3.06,1.86,-2.58,92,44.332,-31.373,-2.693,67.2183
20:19:41:2,0.0665,0.5231,0.8353,-0.1605,0.0901,0.1412,-0.0052,0.0417,-0.0399,1024.4609,-3.06,1.86,-2.58,92,42.846,-31.974,-4.549,62.1039
20:19:41:2,0.0665,0.5231,0.8353,-0.1605,0.0901,0.1412,-0.0052,0.0417,-0.0399,1024.4609,-3.06,0.54,-3.12,92,51.45,-31.974,-4.549,62.1039
20:19:41:2,0.0665,0.5231,0.8353,-0.1605,0.0901,0.1412,0.0748,-0.0225,0.0047,1024.4609,-3.06,0.54,-3.12,92,51.45,-31.974,-4.549,62.1039
20:19:41:2,0.0665,0.5231,0.8353,-0.1605,0.0901,0.1412,0.0748,-0.0225,0.0047,1024.4553,-3.06,0.54,-3.12,92,51.45,-31.974,-4.549,62.1039
20:19:41:2,0.0665,0.5231,0.8353,-0.1605,0.0901,0.1412,0.0748,-0.0225,0.0047,1024.4553,-3.06,0.54,-3.12,92,51.45,-31.974,-4.549,62.1039
20:19:41:2,0.0665,0.5231,0.8353,0.0913,-0.0114,-0.1484,0.0748,-0.0225,0.0047,1024.4553,-3.06,0.54,-3.12,92,51.45,-31.974,-4.549,62.1039
20:19:41:4,0.0665,0.5231,0.8353,0.0913,-0.0114,-0.1484,0.0748,-0.0225,0.0047,1024.4575,-3.06,0.54,-3.12,92,51.45,-31.974,-4.549,62.1039
20:19:41:4,0.0665,0.5231,0.8353,0.0913,-0.0114,-0.1484,0.0748,-0.0225,0.0047,1024.4575,-3.66,0.72,-3.9,92,49.787,-31.974,-4.549,62.1039
20:19:41:4,0.0665,0.5231,0.8353,0.0913,-0.0114,-0.1484,0.0156,-0.0023,-0.0124,1024.4575,-3.66,0.72,-3.9,92,49.787,-31.974,-4.549,62.1039
20:19:41:4,0.044,0.5326,0.8566,0.0913,-0.0114,-0.1484,0.0156,-0.0023,-0.0124,1024.4575,-3.66,0.72,-3.9,92,51.328,-31.839,-2.939,62.1039
20:19:41:4,0.044,0.5326,0.8566,0.0913,-0.0114,-0.1484,0.0156,-0.0023,-0.0124,1024.4575,-3.66,0.72,-3.9,91,51.328,-31.839,-2.939,62.1039
20:19:41:4,0.044,0.5326,0.8566,-0.0997,0.054,0.0753,0.0156,-0.0023,-0.0124,1024.4575,-3.66,0.72,-3.9,91,51.328,-31.839,-2.939,62.1039
20:19:41:5,0.0562,0.5306,0.8522,-0.0997,0.054,0.0753,0.0156,-0.0023,-0.0124,1024.4575,-3.66,0.72,-3.9,91,50.565,-31.855,-3.773,64.576
20:19:41:5,0.0562,0.5306,0.8522,-0.0997,0.054,0.0753,0.0156,-0.0023,-0.0124,1024.4575,-3.42,0.72,-3.9,91,48.582,-31.855,-3.773,64.576
20:19:41:5,0.0562,0.5306,0.8522,-0.0997,0.054,0.0753,0.0101,0.0069,-0.0118,1024.4575,-3.42,0.72,-3.9,91,48.582,-31.855,-3.773,64.576
20:19:41:6,0.0562,0.5306,0.8522,-0.0997,0.054,0.0753,0.0101,0.0069,-0.0118,1024.4524,-3.42,0.72,-3.9,91,48.582,-31.855,-3.773,64.576
20:19:41:6,0.0562,0.5306,0.8522,-0.0997,0.054,0.0753,0.0101,0.0069,-0.0118,1024.4524,-3.42,0.72,-3.9,91,48.582,-31.855,-3.773,64.576
20:19:41:6,0.0562,0.5306,0.8522,0.0263,0.0454,0.0253,0.0101,0.0069,-0.0118,1024.4524,-3.42,0.72,-3.9,91,48.582,-31.855,-3.773,64.576
20:19:41:7,0.0562,0.5306,0.8522,0.0263,0.0454,0.0253,0.0101,0.0069,-0.0118,1024.449,-3.42,0.72,-3.9,91,48.582,-31.855,-3.773,64.576
20:19:41:7,0.0562,0.5306,0.8522,0.0263,0.0454,0.0253,0.0101,0.0069,-0.0118,1024.449,-3.72,0,-4.32,91,54.954,-31.855,-3.773,64.576
20:19:41:7,0.0562,0.5306,0.8522,0.0263,0.0454,0.0253,-0.0186,-0.0017,-0.0026,1024.449,-3.72,0,-4.32,91,54.954,-31.855,-3.773,64.576
20:19:41:7,0.0457,0.5245,0.8656,0.0263,0.0454,0.0253,-0.0186,-0.0017,-0.0026,1024.449,-3.72,0,-4.32,91,56.194,-31.18,-3.021,64.576
20:19:41:7,0.0457,0.5245,0.8656,0.0263,0.0454,0.0253,-0.0186,-0.0017,-0.0026,1024.449,-3.72,0,-4.32,91,56.194,-31.18,-3.021,64.576
20:19:41:7,0.0457,0.5245,0.8656,-0.0705,-0.0122,0.1552,-0.0186,-0.0017,-0.0026,1024.449,-3.72,0,-4.32,91,56.194,-31.18,-3.021,64.576
20:19:41:9,0.0464,0.5233,0.8605,-0.0705,-0.0122,0.1552,-0.0186,-0.0017,-0.0026,1024.449,-3.72,0,-4.32,91,56.061,-31.27,-3.088,60.1072
20:19:41:9,0.0464,0.5233,0.8605,-0.0705,-0.0122,0.1552,-0.0186,-0.0017,-0.0026,1024.449,-3.96,1.32,-3.54,91,50.76,-31.27,-3.088,60.1072
20:19:41:9,0.0464,0.5233,0.8605,-0.0705,-0.0122,0.1552,-0.0199,0.002,-0.0045,1024.449,-3.96,1.32,-3.54,91,50.76,-31.27,-3.088,60.1072
20:19:41:9,0.0464,0.5233,0.8605,-0.0705,-0.0122,0.1552,-0.0199,0.002,-0.0045,1024.4456,-3.96,1.32,-3.54,91,50.76,-31.27,-3.088,60.1072
20:19:41:9,0.0464,0.5233,0.8605,-0.0705,-0.0122,0.1552,-0.0199,0.002,-0.0045,1024.4456,-3.96,1.32,-3.54,91,50.76,-31.27,-3.088,60.1072
20:19:41:9,0.0464,0.5233,0.8605,-0.0577,-0.0226,0.1036,-0.0199,0.002,-0.0045,1024.4456,-3.96,1.32,-3.54,91,50.76,-31.27,-3.088,60.1072
20:19:42:1,0.0464,0.5233,0.8605,-0.0577,-0.0226,0.1036,-0.0199,0.002,-0.0045,1024.4456,-3.84,0.06,-3.54,91,61.317,-31.27,-3.088,61.5217
